contract_id,vendor_id,item_id,contract_unit_price,expiry_date
C0000,V003,ITEM0159,189.71,2027-07-10
C0001,V011,ITEM0014,478.08,2027-04-23
C0002,V008,ITEM0173,438.91,2027-03-03
C0003,V014,ITEM0176,213.38,2027-08-24
C0004,V009,ITEM0087,200.86,2026-11-26
C0005,V005,ITEM0147,251.96,2026-10-03
C0006,V003,ITEM0144,249.27,2027-05-03
C0007,V013,ITEM0033,212.13,2026-10-25
C0008,V002,ITEM0096,225.85,2027-03-27
C0009,V015,ITEM0102,158.59,2027-01-11
C0010,V006,ITEM0161,270.67,2027-03-20
C0011,V003,ITEM0174,151.46,2027-05-06
C0012,V014,ITEM0114,30.53,2027-03-11
C0013,V011,ITEM0197,233.12,2026-10-07
C0014,V019,ITEM0088,216.07,2027-04-26
C0015,V018,ITEM0132,12.82,2027-07-02
C0016,V013,ITEM0143,478.43,2027-02-07
C0017,V010,ITEM0140,218.61,2027-02-02
C0018,V010,ITEM0053,113.84,2027-06-25
C0019,V016,ITEM0049,99.16,2027-03-10
C0020,V001,ITEM0127,137.42,2027-08-24
C0021,V005,ITEM0144,292.56,2027-08-03
C0022,V010,ITEM0069,163.6,2027-01-30
C0023,V003,ITEM0192,462.55,2026-12-02
C0024,V012,ITEM0129,93.38,2027-04-12
C0025,V019,ITEM0036,192.13,2026-11-28
C0026,V003,ITEM0008,438.43,2027-08-06
C0027,V019,ITEM0102,169.22,2026-09-30
C0028,V016,ITEM0178,129.71,2026-11-11
C0029,V016,ITEM0127,134.26,2027-04-27
C0030,V003,ITEM0099,416.99,2027-05-08
C0031,V014,ITEM0032,251.31,2027-01-10
C0032,V005,ITEM0152,231.33,2027-02-21
C0033,V002,ITEM0055,462.5,2027-01-05
C0034,V014,ITEM0157,158.05,2026-09-24
C0035,V007,ITEM0031,33.26,2027-03-09
C0036,V016,ITEM0092,269.54,2027-03-24
C0037,V014,ITEM0178,122.97,2027-08-13
C0038,V012,ITEM0189,72.49,2026-10-04
C0039,V006,ITEM0079,421.1,2027-06-10
