po_id,vendor_id,item_id,unit_price,qty,total,date,contract_id
PO000000,V002,ITEM0014,459.08,34,15608.63,2026-06-20,
PO000001,V018,ITEM0135,74.46,6,446.77,2026-03-10,
PO000002,V010,ITEM0036,192.98,26,5017.55,2026-04-27,
PO000003,V016,ITEM0179,153.1,10,1531.05,2026-08-10,
PO000004,V005,ITEM0068,432.45,44,19027.66,2026-07-26,
PO000005,V009,ITEM0051,40.45,16,647.22,2026-07-13,
PO000006,V008,ITEM0119,11.72,35,410.06,2026-04-03,
PO000007,V013,ITEM0155,248.1,25,6202.62,2026-04-23,
PO000008,V012,ITEM0187,466.64,49,22865.34,2026-07-01,
PO000009,V014,ITEM0033,231.63,10,2316.27,2026-03-23,
PO000010,V015,ITEM0175,212.99,5,1064.96,2026-04-17,
PO000011,V010,ITEM0174,146.38,50,7319.16,2026-04-26,
PO000012,V005,ITEM0027,173.3,32,5545.53,2026-05-03,
PO000013,V000,ITEM0192,414.13,32,13252.2,2026-04-29,
PO000014,V013,ITEM0046,235.56,30,7066.66,2026-03-25,
PO000015,V019,ITEM0109,480.47,27,12972.69,2026-08-08,
PO000016,V007,ITEM0149,116.61,25,2915.15,2026-08-25,
PO000017,V015,ITEM0141,204.41,23,4701.54,2026-05-06,
PO000018,V004,ITEM0052,378.72,9,3408.5,2026-03-12,
PO000019,V005,ITEM0007,379.41,36,13658.69,2026-06-22,
PO000020,V002,ITEM0154,39.46,10,394.61,2026-03-19,C0008
PO000021,V015,ITEM0045,425.87,28,11924.29,2026-03-16,
PO000022,V002,ITEM0010,203.87,46,9377.98,2026-04-15,
PO000023,V011,ITEM0081,18.37,12,220.44,2026-08-23,
PO000024,V002,ITEM0189,80.11,14,1121.48,2026-06-14,
PO000025,V004,ITEM0044,106.68,41,4373.81,2026-06-06,
PO000026,V017,ITEM0053,106.95,42,4491.83,2026-03-13,
PO000027,V004,ITEM0062,440.48,46,20262.24,2026-06-23,
PO000028,V000,ITEM0105,388.11,42,16300.79,2026-04-20,
PO000029,V001,ITEM0019,168.11,39,6556.28,2026-06-20,
PO000030,V015,ITEM0036,257.07,7,1799.48,2026-06-07,C0009
PO000031,V011,ITEM0150,285.46,16,4567.38,2026-05-01,C0013
PO000032,V001,ITEM0158,454.95,15,6824.24,2026-04-04,
PO000033,V004,ITEM0182,404.17,17,6870.94,2026-03-05,
PO000034,V006,ITEM0183,446.84,31,13851.96,2026-04-03,
PO000035,V002,ITEM0121,454.05,20,9080.95,2026-07-26,
PO000036,V004,ITEM0037,460.98,1,460.98,2026-05-17,
PO000037,V003,ITEM0176,212.55,5,1062.74,2026-08-16,
PO000038,V006,ITEM0012,261.56,3,784.68,2026-08-03,
PO000039,V006,ITEM0145,292.61,23,6730.14,2026-04-20,
PO000040,V010,ITEM0064,468.49,17,7964.27,2026-04-27,
PO000041,V001,ITEM0194,415.43,46,19109.56,2026-03-15,
PO000042,V011,ITEM0197,235.02,11,2585.23,2026-07-02,
PO000043,V019,ITEM0139,171.36,28,4798.04,2026-05-14,
PO000044,V001,ITEM0106,381.31,1,381.31,2026-06-04,
PO000045,V001,ITEM0176,210.9,39,8224.95,2026-07-20,
PO000046,V002,ITEM0006,27.78,15,416.65,2026-05-02,
PO000047,V002,ITEM0122,348.88,38,13257.6,2026-06-25,
PO000048,V006,ITEM0008,431.3,32,13801.63,2026-03-22,C0010
PO000049,V006,ITEM0042,56.41,15,846.2,2026-04-21,
PO000050,V017,ITEM0092,289.2,43,12435.69,2026-05-28,
PO000051,V003,ITEM0044,85.76,49,4202.23,2026-06-18,
PO000052,V011,ITEM0170,148.54,34,5050.51,2026-03-29,
PO000053,V011,ITEM0102,170.79,14,2391.08,2026-04-01,
PO000054,V005,ITEM0063,372.47,46,17133.51,2026-03-31,
PO000055,V011,ITEM0147,276.09,10,2760.89,2026-07-29,
PO000056,V014,ITEM0175,216.76,10,2167.63,2026-08-21,
PO000057,V008,ITEM0160,219.46,35,7681.23,2026-04-21,
PO000058,V019,ITEM0122,325.08,22,7151.8,2026-07-16,
PO000059,V009,ITEM0048,261.26,26,6792.72,2026-06-02,
PO000060,V015,ITEM0134,234.12,13,3043.6,2026-08-09,
PO000061,V019,ITEM0143,440.16,19,8363.06,2026-07-21,
PO000062,V004,ITEM0073,298.88,18,5379.81,2026-06-01,
PO000063,V006,ITEM0124,66.97,24,1607.3,2026-06-24,
PO000064,V019,ITEM0013,87.47,4,349.87,2026-07-22,
PO000065,V003,ITEM0093,74.48,42,3128.15,2026-06-12,C0006
PO000066,V002,ITEM0169,102.89,34,3498.1,2026-05-17,
PO000067,V004,ITEM0140,209.96,46,9658.19,2026-05-01,
PO000068,V016,ITEM0075,72.51,45,3262.98,2026-03-31,
PO000069,V004,ITEM0032,288.72,24,6929.38,2026-04-22,
PO000070,V006,ITEM0158,416.96,5,2084.8,2026-06-17,
PO000071,V010,ITEM0008,428.46,24,10283.08,2026-05-23,
PO000072,V014,ITEM0066,226.65,10,2266.51,2026-07-03,
PO000073,V003,ITEM0197,277.5,40,11100.09,2026-05-18,
PO000074,V002,ITEM0009,496.63,45,22348.22,2026-03-21,
PO000075,V019,ITEM0142,294.6,35,10311.13,2026-08-18,
PO000076,V002,ITEM0173,476.82,25,11920.47,2026-04-09,
PO000077,V010,ITEM0043,50.24,45,2260.66,2026-08-19,
